symbol,series,date,time,orno,bors,vd,vo,lp,mkt
XXX,EQ,3-Apr-06,9:57:17,200604033359523.00,S,1,1,2975,N
XXX,EQ,3-Apr-06,9:57:17,200604036679147.00,B,20,200,2950.2,N
XXX,EQ,3-Apr-06,9:57:17,200604036694420.00,B,2,2,2960,N
XXX,EQ,3-Apr-06,9:57:17,200604036694491.00,B,1,1,2955,N
XXX,EQ,3-Apr-06,9:57:18,200604033359689.00,S,1,1,2980,N
XXX,EQ,3-Apr-06,9:57:20,200604033359960.00,B,100,100,2960,N
XXX,EQ,3-Apr-06,9:57:20,200604036694937.00,B,25,250,2960,N
XXX,EQ,3-Apr-06,9:57:21,200604036695172.00,B,1,1,,Y
XXX,EQ,3-Apr-06,9:57:22,200604030027439.00,B,100,100,2965,N
XXX,EQ,3-Apr-06,9:57:22,200604030028059.00,B,5,5,2960,N
XXX,EQ,3-Apr-06,9:57:23,200604030028320.00,B,25,25,2960,N
XXX,EQ,3-Apr-06,9:57:23,200604036694491.00,B,1,1,2955,N
XXX,EQ,3-Apr-06,9:57:25,200604030006847.00,S,100,100,2969,N
XXX,EQ,3-Apr-06,9:57:27,200604030006831.00,B,100,100,2901,N
XXX,EQ,3-Apr-06,9:57:27,200604036696047.00,B,500,500,2925,N
XXX,EQ,3-Apr-06,9:57:27,200604036696158.00,S,50,50,2960,N
XXX,EQ,3-Apr-06,9:57:28,200604033361150.00,B,5,5,2950,N
XXX,EQ,3-Apr-06,9:57:28,200604033361283.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:57:29,200604033361473.00,B,1,1,2940,N
XXX,EQ,3-Apr-06,9:57:30,200604036696617.00,S,400,400,2960,N
XXX,EQ,3-Apr-06,9:57:31,200604036696689.00,S,5,5,3111,N
XXX,EQ,3-Apr-06,9:57:32,200604033361941.00,B,1,1,2955,N
XXX,EQ,3-Apr-06,9:57:32,200604036696971.00,S,2,2,2999.55,N
XXX,EQ,3-Apr-06,9:57:33,200604036697046.00,B,1,1,2885,N
XXX,EQ,3-Apr-06,9:57:36,200604036697691.00,B,50,50,2955,N
XXX,EQ,3-Apr-06,9:57:40,200604030030356.00,S,400,400,2960,N
XXX,EQ,3-Apr-06,9:57:40,200604033363092.00,B,5,5,2968.5,N
XXX,EQ,3-Apr-06,9:57:41,200604033363209.00,B,15,15,2950,N
XXX,EQ,3-Apr-06,9:57:43,200604030030871.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:57:43,200604033363535.00,S,1,1,2973,N
XXX,EQ,3-Apr-06,9:57:43,200604036698830.00,S,2,2,3009.35,N
XXX,EQ,3-Apr-06,9:57:44,200604030031122.00,B,34,34,2960.1,N
XXX,EQ,3-Apr-06,9:57:44,200604030031128.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:57:44,200604033363653.00,B,1,1,,Y
XXX,EQ,3-Apr-06,9:57:50,200604030031814.00,S,100,100,2985,N
XXX,EQ,3-Apr-06,9:57:51,200604036700382.00,S,2,2,3019.35,N
XXX,EQ,3-Apr-06,9:57:52,200604030032176.00,S,3,3,3020,N
XXX,EQ,3-Apr-06,9:57:52,200604036700478.00,B,25,250,2951.5,N
XXX,EQ,3-Apr-06,9:57:52,200604036700594.00,B,10,10,2968.5,N
XXX,EQ,3-Apr-06,9:57:53,200604036700804.00,B,3,3,2850,N
XXX,EQ,3-Apr-06,9:57:53,200604036700815.00,S,4,4,3105,N
XXX,EQ,3-Apr-06,9:57:56,200604036701242.00,S,2,2,3099.95,N
XXX,EQ,3-Apr-06,9:57:59,200604036701975.00,S,9,9,,Y
XXX,EQ,3-Apr-06,9:58:00,200604036702110.00,S,200,200,2959.95,N
XXX,EQ,3-Apr-06,9:58:02,200604036702609.00,B,10,50,2825,N
XXX,EQ,3-Apr-06,9:58:03,200604030033591.00,B,150,1500,2969,N
XXX,EQ,3-Apr-06,9:58:03,200604036702715.00,B,5,5,2941,N
XXX,EQ,3-Apr-06,9:58:03,200604036702789.00,S,200,200,2954.95,N
XXX,EQ,3-Apr-06,9:58:07,200604030034073.00,B,25,25,2960,N
XXX,EQ,3-Apr-06,9:58:07,200604033366978.00,B,15,15,2960,N
XXX,EQ,3-Apr-06,9:58:07,200604036703525.00,S,5,5,3065,N
XXX,EQ,3-Apr-06,9:58:07,200604036703528.00,S,40,400,2959.95,N
XXX,EQ,3-Apr-06,9:58:09,200604033367256.00,S,10,10,3000,N
XXX,EQ,3-Apr-06,9:58:09,200604033367327.00,S,1,1,2955,N
XXX,EQ,3-Apr-06,9:58:10,200604033353826.00,B,10,10,2901,N
XXX,EQ,3-Apr-06,9:58:10,200604033367395.00,B,10,10,,Y
XXX,EQ,3-Apr-06,9:58:12,200604033367686.00,B,20,20,2950,N
XXX,EQ,3-Apr-06,9:58:13,200604033367822.00,B,1,1,2970,N
XXX,EQ,3-Apr-06,9:58:15,200604033368146.00,S,1,1,2955,N
XXX,EQ,3-Apr-06,9:58:15,200604036705106.00,S,200,200,2969,N
XXX,EQ,3-Apr-06,9:58:17,200604033368429.00,S,200,200,2970,N
XXX,EQ,3-Apr-06,9:58:17,200604036705338.00,S,3,3,3490,N
XXX,EQ,3-Apr-06,9:58:18,200604030035721.00,S,200,200,2970,N
XXX,EQ,3-Apr-06,9:58:19,200604030035879.00,B,50,400,2952.3,N
XXX,EQ,3-Apr-06,9:58:19,200604036705752.00,B,5,5,2951,N
XXX,EQ,3-Apr-06,9:58:20,200604033368429.00,S,20,200,2970,N
XXX,EQ,3-Apr-06,9:58:21,200604036706296.00,S,400,400,2969,N
XXX,EQ,3-Apr-06,9:58:22,200604030036362.00,S,200,200,2969,N
XXX,EQ,3-Apr-06,9:58:22,200604036706481.00,B,1,1,2860,N
XXX,EQ,3-Apr-06,9:58:23,200604033361150.00,B,5,5,2960,N
XXX,EQ,3-Apr-06,9:58:23,200604036706516.00,S,200,200,2969,N
XXX,EQ,3-Apr-06,9:58:25,200604030035721.00,S,200,200,2970,N
XXX,EQ,3-Apr-06,9:58:25,200604030036765.00,S,200,200,2970,N
XXX,EQ,3-Apr-06,9:58:25,200604033369493.00,S,10,10,2980,N
XXX,EQ,3-Apr-06,9:58:25,200604033369508.00,S,20,20,3065,N
XXX,EQ,3-Apr-06,9:58:26,200604030036805.00,B,50,50,2968.5,N
XXX,EQ,3-Apr-06,9:58:26,200604030036911.00,S,20,20,2955,N
XXX,EQ,3-Apr-06,9:58:27,200604030036362.00,S,200,200,2968.9,N
XXX,EQ,3-Apr-06,9:58:27,200604030037073.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,9:58:27,200604036670184.00,B,50,50,2752.35,N
XXX,EQ,3-Apr-06,9:58:27,200604036706516.00,S,200,200,2969,N
XXX,EQ,3-Apr-06,9:58:28,200604030037192.00,S,200,200,2955,N
XXX,EQ,3-Apr-06,9:58:29,200604030037288.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:58:29,200604033368429.00,S,20,200,2970,N
XXX,EQ,3-Apr-06,9:58:30,200604030037407.00,S,100,100,2960,N
XXX,EQ,3-Apr-06,9:58:30,200604030037478.00,S,200,200,2969,N
XXX,EQ,3-Apr-06,9:58:30,200604033370341.00,S,200,200,2960,N
XXX,EQ,3-Apr-06,9:58:31,200604033370476.00,S,10,10,3050,N
XXX,EQ,3-Apr-06,9:58:32,200604030037720.00,S,1000,1000,2960,N
XXX,EQ,3-Apr-06,9:58:32,200604033370341.00,S,200,200,2955,N
XXX,EQ,3-Apr-06,9:58:32,200604033370638.00,B,35,35,2934,N
XXX,EQ,3-Apr-06,9:58:32,200604036708385.00,S,92,92,3100,N
XXX,EQ,3-Apr-06,9:58:33,200604030037876.00,S,5,5,3233,N
XXX,EQ,3-Apr-06,9:58:35,200604030037407.00,S,100,100,2960,N
XXX,EQ,3-Apr-06,9:58:35,200604036709058.00,B,78,78,2960.05,N
XXX,EQ,3-Apr-06,9:58:36,200604030037720.00,S,1000,1000,2960,N
XXX,EQ,3-Apr-06,9:58:36,200604030038271.00,B,1,1,2957,N
XXX,EQ,3-Apr-06,9:58:37,200604033371381.00,S,10,10,3075,N
XXX,EQ,3-Apr-06,9:58:37,200604036706296.00,S,400,400,2969,N
XXX,EQ,3-Apr-06,9:58:38,200604033350205.00,B,10,10,2933,N
XXX,EQ,3-Apr-06,9:58:38,200604033370341.00,S,200,200,2955,N
XXX,EQ,3-Apr-06,9:58:39,200604030038765.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:58:40,200604033371879.00,S,20,20,2976,N
XXX,EQ,3-Apr-06,9:58:43,200604030039298.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:58:44,200604030039454.00,B,1,1,2940,N
XXX,EQ,3-Apr-06,9:58:44,200604033372650.00,B,100,100,2965,N
XXX,EQ,3-Apr-06,9:58:45,200604030039597.00,B,1,1,2930,N
XXX,EQ,3-Apr-06,9:58:46,200604030039705.00,S,1,1,2952.3,N
XXX,EQ,3-Apr-06,9:58:46,200604030039762.00,B,1,1,2920,N
XXX,EQ,3-Apr-06,9:58:46,200604030039769.00,S,1,1,2960,N
XXX,EQ,3-Apr-06,9:58:47,200604030039807.00,S,1,1,2955,N
XXX,EQ,3-Apr-06,9:58:48,200604030039899.00,B,1,1,2910,N
XXX,EQ,3-Apr-06,9:58:49,200604030040064.00,S,1,1,2955,N
XXX,EQ,3-Apr-06,9:58:50,200604030040203.00,S,200,200,2965,N
XXX,EQ,3-Apr-06,9:58:50,200604030040234.00,S,1,1,2960,N
XXX,EQ,3-Apr-06,9:58:50,200604030040272.00,S,1,1,2975,N
XXX,EQ,3-Apr-06,9:58:51,200604030040439.00,S,1,1,2980,N
XXX,EQ,3-Apr-06,9:58:53,200604030040646.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,9:58:54,200604030040769.00,S,1,1,2985,N
XXX,EQ,3-Apr-06,9:58:56,200604030041040.00,S,1,1,2980,N
XXX,EQ,3-Apr-06,9:58:56,200604033337258.00,B,200,400,2900.05,N
XXX,EQ,3-Apr-06,9:58:56,200604036713548.00,S,10,10,3000,N
XXX,EQ,3-Apr-06,9:58:57,200604030041213.00,S,1,1,2990,N
XXX,EQ,3-Apr-06,9:58:57,200604030041234.00,B,1,1,2961,N
XXX,EQ,3-Apr-06,9:58:59,200604036714022.00,S,20,20,2960,N
XXX,EQ,3-Apr-06,9:59:00,200604030041570.00,S,1,1,3000,N
XXX,EQ,3-Apr-06,9:59:01,200604033374987.00,S,1,1,2965,N
XXX,EQ,3-Apr-06,9:59:02,200604033375217.00,B,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:02,200604033375221.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,9:59:04,200604030042046.00,S,30,200,2968.8,N
XXX,EQ,3-Apr-06,9:59:06,200604030042360.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,9:59:08,200604030042619.00,S,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:08,200604036715875.00,B,100,100,2960,N
XXX,EQ,3-Apr-06,9:59:08,200604036715913.00,B,2,2,2955,N
XXX,EQ,3-Apr-06,9:59:09,200604030042745.00,B,1,1,2950,N
XXX,EQ,3-Apr-06,9:59:09,200604036716126.00,S,20,20,3150,N
XXX,EQ,3-Apr-06,9:59:11,200604030007899.00,B,5,5,2830,N
XXX,EQ,3-Apr-06,9:59:11,200604030043078.00,B,93,93,2956,N
XXX,EQ,3-Apr-06,9:59:11,200604033376376.00,B,2,2,2940,N
XXX,EQ,3-Apr-06,9:59:13,200604030043281.00,S,1,1,,Y
XXX,EQ,3-Apr-06,9:59:16,200604030043714.00,S,1,1,2960,N
XXX,EQ,3-Apr-06,9:59:16,200604033377248.00,B,1,1,2945,N
XXX,EQ,3-Apr-06,9:59:16,200604036717589.00,B,18,18,2940,N
XXX,EQ,3-Apr-06,9:59:17,200604036717751.00,S,100,200,2968,N
XXX,EQ,3-Apr-06,9:59:18,200604033377413.00,S,5,5,2955,N
