symbol,series,date,time,tno,p,vol,bno,sno
XXX,EQ,3-Apr-06,9:59:59,200604030026959.00,2970,30,200604036724833.00,200604036719723.00
XXX,EQ,3-Apr-06,9:59:59,200604030026960.00,2970,5,200604036724833.00,200604033379809.00
XXX,EQ,3-Apr-06,9:59:59,200604030026961.00,2970.55,40,200604036724833.00,200604033350231.00
XXX,EQ,3-Apr-06,10:00:06,200604030027932.00,2970,1,200604030050097.00,200604030050305.00
XXX,EQ,3-Apr-06,10:00:18,200604030028948.00,2965,1,200604033383051.00,200604033385874.00
XXX,EQ,3-Apr-06,10:00:18,200604030028949.00,2962,4,200604030049071.00,200604033385874.00
XXX,EQ,3-Apr-06,10:00:24,200604030029498.00,2965,1,200604030052261.00,200604033386797.00
XXX,EQ,3-Apr-06,10:00:32,200604030030138.00,2969,35,200604036730314.00,200604030050305.00
XXX,EQ,3-Apr-06,10:00:32,200604030030139.00,2970,15,200604036730314.00,200604036726236.00
XXX,EQ,3-Apr-06,10:00:32,200604030030140.00,2970,1,200604036730314.00,200604030050816.00
XXX,EQ,3-Apr-06,10:00:32,200604030030141.00,2970,1,200604036730314.00,200604030051188.00
XXX,EQ,3-Apr-06,10:00:34,200604030030343.00,2970,98,200604036730314.00,200604036730650.00
XXX,EQ,3-Apr-06,10:00:34,200604030030344.00,2970,14,200604030052261.00,200604036730650.00
XXX,EQ,3-Apr-06,10:00:37,200604030030682.00,2970,35,200604030052261.00,200604030054215.00
XXX,EQ,3-Apr-06,10:00:37,200604030030683.00,2970,150,200604036730314.00,200604030054215.00
XXX,EQ,3-Apr-06,10:00:37,200604030030684.00,2970,15,200604036730851.00,200604030054215.00
XXX,EQ,3-Apr-06,10:00:45,200604030031234.00,2970,10,200604036730851.00,200604033389653.00
XXX,EQ,3-Apr-06,10:00:45,200604030031271.00,2970,5,200604036730851.00,200604036732393.00
XXX,EQ,3-Apr-06,10:00:45,200604030031272.00,2970,20,200604036730314.00,200604036732393.00
XXX,EQ,3-Apr-06,10:00:49,200604030031604.00,2970,130,200604036730314.00,200604030055600.00
XXX,EQ,3-Apr-06,10:00:49,200604030031605.00,2970,1,200604030054671.00,200604030055600.00
XXX,EQ,3-Apr-06,10:00:49,200604030031606.00,2970,69,200604036730314.00,200604030055600.00
XXX,EQ,3-Apr-06,10:00:53,200604030032061.00,2970.55,5,200604033390822.00,200604033350231.00
XXX,EQ,3-Apr-06,10:00:54,200604030032190.00,2970,50,200604036730314.00,200604036733800.00
XXX,EQ,3-Apr-06,10:01:00,200604030032680.00,2970,15,200604036730314.00,200604033391793.00
XXX,EQ,3-Apr-06,10:01:02,200604030032853.00,2970,10,200604036730314.00,200604030057141.00
XXX,EQ,3-Apr-06,10:01:11,200604030033755.00,2970,3,200604036730314.00,200604030058195.00
XXX,EQ,3-Apr-06,10:01:18,200604030034281.00,2970,3,200604036730314.00,200604036737466.00
XXX,EQ,3-Apr-06,10:01:18,200604030034282.00,2970,1,200604030056799.00,200604036737466.00
XXX,EQ,3-Apr-06,10:01:18,200604030034283.00,2970,1,200604033394174.00,200604036737466.00
XXX,EQ,3-Apr-06,10:01:18,200604030034290.00,2970,3,200604036730314.00,200604033394200.00
XXX,EQ,3-Apr-06,10:01:18,200604030034383.00,2970.55,10,200604033379761.00,200604033350231.00
XXX,EQ,3-Apr-06,10:01:20,200604030034518.00,2970,86,200604036730314.00,200604036737885.00
XXX,EQ,3-Apr-06,10:01:24,200604030034954.00,2970,1,200604036730314.00,200604036738515.00
XXX,EQ,3-Apr-06,10:01:25,200604030034990.00,2970.55,1,200604036738613.00,200604033350231.00
XXX,EQ,3-Apr-06,10:01:25,200604030035049.00,2970,2,200604036730314.00,200604033395211.00
XXX,EQ,3-Apr-06,10:01:26,200604030035058.00,2970,21,200604036730314.00,200604036738747.00
XXX,EQ,3-Apr-06,10:01:26,200604030035181.00,2970,8,200604036730314.00,200604033395265.00
XXX,EQ,3-Apr-06,10:01:27,200604030035216.00,2970,5,200604036730314.00,200604036738960.00
XXX,EQ,3-Apr-06,10:01:32,200604030035555.00,2970,24,200604036730314.00,200604036739698.00
XXX,EQ,3-Apr-06,10:01:32,200604030035556.00,2970,1,200604036739072.00,200604036739698.00
XXX,EQ,3-Apr-06,10:01:32,200604030035557.00,2970,50,200604036730314.00,200604036739698.00
XXX,EQ,3-Apr-06,10:01:38,200604030036162.00,2970,1,200604036730314.00,200604036740617.00
XXX,EQ,3-Apr-06,10:01:38,200604030036227.00,2970,3,200604036730314.00,200604036740657.00
XXX,EQ,3-Apr-06,10:01:43,200604030036624.00,2970.55,136,200604036730314.00,200604033350231.00
XXX,EQ,3-Apr-06,10:01:51,200604030037248.00,2971,2,200604036730314.00,200604036742748.00
XXX,EQ,3-Apr-06,10:01:55,200604030037697.00,2971.1,1,200604030062027.00,200604036743532.00
XXX,EQ,3-Apr-06,10:01:56,200604030037727.00,2971.1,199,200604030062027.00,200604033399499.00
XXX,EQ,3-Apr-06,10:01:56,200604030037728.00,2971,301,200604036730314.00,200604033399499.00
XXX,EQ,3-Apr-06,10:01:57,200604030037829.00,2971,3,200604036730314.00,200604033399684.00
XXX,EQ,3-Apr-06,10:02:00,200604030038123.00,2971,50,200604036730314.00,200604030063646.00
XXX,EQ,3-Apr-06,10:02:16,200604030039372.00,2973,1,200604030064229.00,200604033363535.00
XXX,EQ,3-Apr-06,10:02:16,200604030039373.00,2975,1,200604030064229.00,200604033359523.00
XXX,EQ,3-Apr-06,10:02:20,200604030039655.00,2972,5,200604030049071.00,200604030065920.00
XXX,EQ,3-Apr-06,10:02:22,200604030039789.00,2975,1,200604033402884.00,200604030040272.00
XXX,EQ,3-Apr-06,10:02:22,200604030039864.00,2972,30,200604030049071.00,200604033402967.00
XXX,EQ,3-Apr-06,10:02:25,200604030040063.00,2975,1,200604033402136.00,200604030051383.00
XXX,EQ,3-Apr-06,10:02:25,200604030040064.00,2975,1,200604033402136.00,200604030058766.00
XXX,EQ,3-Apr-06,10:02:25,200604030040065.00,2975,1,200604033402136.00,200604030063976.00
XXX,EQ,3-Apr-06,10:02:25,200604030040066.00,2978,2,200604033402136.00,200604030009909.00
XXX,EQ,3-Apr-06,10:02:26,200604030040094.00,2972,10,200604030049071.00,200604030066518.00
XXX,EQ,3-Apr-06,10:02:26,200604030040095.00,2972,1,200604033403344.00,200604030066518.00
XXX,EQ,3-Apr-06,10:02:26,200604030040096.00,2972,51,200604030049071.00,200604030066518.00
XXX,EQ,3-Apr-06,10:02:40,200604030041219.00,2972,5,200604036750836.00,200604030066518.00
XXX,EQ,3-Apr-06,10:02:44,200604030041540.00,2971,43,200604036730314.00,200604030068528.00
XXX,EQ,3-Apr-06,10:02:44,200604030041541.00,2971,7,200604036742011.00,200604030068528.00
XXX,EQ,3-Apr-06,10:02:51,200604030041974.00,2971,13,200604036742011.00,200604030069309.00
XXX,EQ,3-Apr-06,10:02:51,200604030041975.00,2971,12,200604036730314.00,200604030069309.00
XXX,EQ,3-Apr-06,10:02:53,200604030042204.00,2971,25,200604036730314.00,200604030069620.00
XXX,EQ,3-Apr-06,10:02:54,200604030042212.00,2971,25,200604036730314.00,200604033407014.00
XXX,EQ,3-Apr-06,10:02:56,200604030042444.00,2971,50,200604036730314.00,200604030069950.00
XXX,EQ,3-Apr-06,10:03:00,200604030042735.00,2974,5,200604030070310.00,200604030067749.00
XXX,EQ,3-Apr-06,10:03:11,200604030043512.00,2973,15,200604033408070.00,200604030071578.00
XXX,EQ,3-Apr-06,10:03:16,200604030044054.00,2973,35,200604033408070.00,200604030072209.00
XXX,EQ,3-Apr-06,10:03:16,200604030044055.00,2972,10,200604033409653.00,200604030072209.00
XXX,EQ,3-Apr-06,10:03:16,200604030044056.00,2971,5,200604036730314.00,200604030072209.00
XXX,EQ,3-Apr-06,10:03:17,200604030044093.00,2971,9,200604036730314.00,200604036757028.00
XXX,EQ,3-Apr-06,10:03:22,200604030044454.00,2973,50,200604030072740.00,200604030072217.00
XXX,EQ,3-Apr-06,10:03:22,200604030044455.00,2974,45,200604030072740.00,200604030067749.00
XXX,EQ,3-Apr-06,10:03:28,200604030045052.00,2974,5,200604030072740.00,200604036758852.00
XXX,EQ,3-Apr-06,10:03:34,200604030045540.00,2971,35,200604036730314.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:34,200604030045541.00,2970,1,200604033397871.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:34,200604030045542.00,2970,1,200604030064177.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:34,200604030045543.00,2970,1,200604033403112.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:35,200604030045696.00,2970,20,200604033412429.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:35,200604030045709.00,2970,1,200604033412457.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:43,200604030046498.00,2970,31,200604033370638.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:43,200604030046501.00,2970,10,200604030075067.00,200604030074111.00
XXX,EQ,3-Apr-06,10:03:43,200604030046502.00,2970,1,200604030075067.00,200604030074948.00
XXX,EQ,3-Apr-06,10:03:51,200604030047249.00,2971,6,200604036762506.00,200604030075423.00
XXX,EQ,3-Apr-06,10:03:53,200604030047402.00,2971,2,200604033414767.00,200604030075423.00
XXX,EQ,3-Apr-06,10:03:56,200604030047636.00,2970,1,200604030075067.00,200604033415179.00
XXX,EQ,3-Apr-06,10:03:56,200604030047637.00,2967,1,200604030075817.00,200604033415179.00
XXX,EQ,3-Apr-06,10:04:09,200604030048501.00,2971,5,200604030077958.00,200604030074795.00
XXX,EQ,3-Apr-06,10:04:11,200604030048632.00,2970,1,200604030078184.00,200604030074795.00
XXX,EQ,3-Apr-06,10:04:12,200604030048713.00,2970,1,200604030078305.00,200604030074795.00
XXX,EQ,3-Apr-06,10:04:12,200604030048761.00,2970,1,200604030078376.00,200604030074795.00
XXX,EQ,3-Apr-06,10:04:13,200604030048810.00,2970,1,200604030078472.00,200604030074795.00
XXX,EQ,3-Apr-06,10:04:18,200604030049277.00,2970,91,200604030079021.00,200604030074795.00
XXX,EQ,3-Apr-06,10:04:18,200604030049278.00,2970,1,200604030079021.00,200604030078522.00
XXX,EQ,3-Apr-06,10:04:18,200604030049279.00,2971,1,200604030079021.00,200604033417805.00
XXX,EQ,3-Apr-06,10:04:20,200604030049400.00,2972,1,200604030079021.00,200604036766736.00
XXX,EQ,3-Apr-06,10:04:22,200604030049557.00,2972,5,200604030079021.00,200604030079413.00
XXX,EQ,3-Apr-06,10:04:24,200604030049664.00,2973,2,200604030079595.00,200604036761460.00
XXX,EQ,3-Apr-06,10:04:25,200604030049738.00,2973,2,200604030079595.00,200604036767394.00
XXX,EQ,3-Apr-06,10:04:25,200604030049739.00,2972,198,200604030079021.00,200604036767394.00
XXX,EQ,3-Apr-06,10:04:30,200604030050108.00,2972.85,192,200604030079021.00,200604030075423.00
XXX,EQ,3-Apr-06,10:04:30,200604030050109.00,2975,1,200604030079021.00,200604030067426.00
XXX,EQ,3-Apr-06,10:04:30,200604030050110.00,2975,1,200604030079021.00,200604030068845.00
XXX,EQ,3-Apr-06,10:04:30,200604030050111.00,2975,1,200604030079021.00,200604033408495.00
XXX,EQ,3-Apr-06,10:04:30,200604030050112.00,2975,1,200604030079021.00,200604030073338.00
XXX,EQ,3-Apr-06,10:04:30,200604030050113.00,2975,10,200604030079021.00,200604033411563.00
XXX,EQ,3-Apr-06,10:04:31,200604030050151.00,2976,1,200604030079021.00,200604036768188.00
XXX,EQ,3-Apr-06,10:04:32,200604030050259.00,2978,1,200604036768322.00,200604030009909.00
XXX,EQ,3-Apr-06,10:04:32,200604030050276.00,2976,200,200604030079021.00,200604036768362.00
XXX,EQ,3-Apr-06,10:04:36,200604030050640.00,2976,196,200604030079021.00,200604036768875.00
XXX,EQ,3-Apr-06,10:04:36,200604030050647.00,2973.7,1,200604030080730.00,200604030080987.00
